40;kt;35;kt;30;kt;25;kt;20;kt;15;kt;10;kt
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.916763531;22.68322116;4.383973051;20.66775712;2.971517078;23.07920847;2.979264151;35.03562437;1.420049184;12.2308961;2.961484657;62.6769577;1.959724938;67.1704574
4.639285989;23.04953397;8.01102894;30.84264477;6.853123317;34.02822248;6.53731548;41.94708962;4.355401689;49.05061969;6.240274703;66.11836847;3.048146352;76.27156454
8.273225383;28.70724704;11.60541268;37.52208414;10.00322234;42.78313333;9.358684242;51.52969938;7.398763761;57.60591867;8.964895136;75.01313886;4.008268442;80.6192693
11.82081725;33.55130234;14.29172791;44.54892738;12.94007009;48.90835701;12.11728223;58.06644557;10.340889;62.88237002;11.65285377;85.12101749;4.761647445;88.09206515
15.1847222;38.69729748;17.21481935;48.95712691;15.66458609;54.22434134;15.34938497;59.62164484;13.12068436;67.93066987;14.34208767;94.87887808;5.103483959;100.091859
17.98506136;43.81409922;19.93944306;53.07607162;18.26865434;59.02952284;18.17315944;63.03846247;15.99388571;70.91485115;16.23727132;101.7751862;5.448119565;112.0955211
20.63537731;48.30424498;22.65385762;56.52567217;20.96642927;62.63013429;20.83266081;66.83027405;18.71546143;74.88854194;17.4679085;111.1640365;5.452918487;123.9035351
23.09050694;52.68217112;25.48727408;59.02553029;23.71167842;65.48728682;23.51834724;70.04568419;21.35750075;79.79520972;18.53934655;121.0842797;4.70080804;133.5669601
25.51189682;56.67997147;28.14996221;61.7963249;26.46189056;67.96709631;25.91576985;75.20766601;23.68962835;85.53246908;19.54896308;130.8223426;3.310085884;145.2756516
28.12828154;59.64931836;30.507736;65.49817606;29.24809269;69.99943946;28.5496696;78.82378172;26.02729987;91.29575333;19.13776921;139.7287664;2.435199091;162.7354052
30.65359894;62.65165236;33.05861074;68.29033958;31.74379;73.49504216;31.23174831;82.41768081;27.81253979;96.20230949;18.24663896;148.9432232;1.463123278;180
33.229589;65.26750039;35.63612218;70.86275857;34.29169119;76.80871493;33.95935466;86.80889583;29.84799245;103.1375636;16.81479952;157.4106922;;
35.84602729;67.57508083;38.05015778;74.22667584;36.96073438;79.46989885;36.72244796;90.62687177;32.33667256;106.8226111;15.06326311;166.5371845;;
38.57313406;69.32832245;40.57129053;77.23081375;39.54880476;83.39592356;39.421871;95.14988743;34.94607517;110.1627498;13.9192304;180;;
41.09120856;71.82882471;43.19077289;79.87712309;42.29311652;86.97440853;42.05657307;99.01665674;37.05209239;114.0537444;;;;
43.46465064;75.04187566;45.76402544;83.45789128;45.04788173;90.33163379;44.11505863;102.0640547;38.3949499;116.2169127;;;;
45.98911845;77.75071675;48.48577307;86.86246637;47.58411067;94.22155932;45.99807716;105.4277332;39.39370886;118.7802201;;;;
48.56585727;80.44238044;51.09194947;89.83190949;49.86377375;97.28526611;48.0360647;108.5501006;41.55693452;124.6408103;;;;
51.02552988;83.84358588;53.30547165;93.01127435;52.15209067;100.1682747;49.74247854;111.1366102;44.37976711;129.4100312;;;;
53.84463677;87.29578125;55.40949028;96.0270179;54.22963437;103.7964956;52.08239281;115.8736194;46.34406831;131.4217258;;;;
56.32867136;90.14125255;57.51272748;98.76901767;56.23207551;106.6858656;54.61437954;120.0168194;47.13934408;133.4725712;;;;
58.28754748;93.14565902;59.1906215;100.6177182;58.27855538;109.7576794;56.80472803;123.7367766;49.04271818;137.3920535;;;;
60.11439423;95.8364464;60.7246245;103.7970312;59.50137133;111.8300425;59.31027469;126.684581;50.79067452;141.0286458;;;;
61.90310066;98.18746856;62.45304849;106.4285224;61.21350224;114.4646198;62.60811959;130.0809008;52.12398891;145.3411042;;;;
63.62817892;100.2752836;64.20769945;109.0275337;62.789318;117.2075639;64.57260908;133.3795604;53.49934487;149.4113865;;;;
65.49984154;103.0573222;65.62639593;110.8297734;64.92366919;120.2816517;66.92032152;136.6000613;52.94806707;152.9321078;;;;
67.3823728;105.6930339;67.6226823;113.7628018;67.59397206;123.9297117;69.94796383;139.4978946;52.80003874;156.4033322;;;;
69.15154125;107.9063116;69.55612893;116.2708273;69.92834287;126.5070756;70.31332093;141.0347016;52.48020647;159.7333536;;;;
71.32105669;110.3586264;71.09081674;117.9266633;71.71861148;128.4087538;71.98213777;143.8518003;52.03306952;162.9890526;;;;
73.40040796;113.6994575;73.20168162;120.1388496;73.49765294;130.1357819;73.69463371;146.3462644;51.46524019;166.2101958;;;;
75.47984161;116.6414012;74.85757247;122.7965456;74.67605619;132.2895845;75.22927643;148.4580384;51.29327545;169.5409751;;;;
77.24598646;118.6782243;76.26463222;125.0642446;76.18325985;134.8366699;76.90439096;150.8456316;50.96078158;172.8346847;;;;
78.7904739;120.5533251;78.21533938;127.6060912;77.6713072;137.0324356;78.30183497;153.7468669;50.74279608;176.1560941;;;;
80.15177992;123.1861836;80.35665061;130.3058033;79.59255378;139.4726208;79.77789965;156.3980638;50.70743706;180;;;;
81.63030857;125.7346354;81.4161395;132.7420756;80.72907957;141.6401265;81.42532949;158.746726;;;;;;
83.17785504;127.9607316;82.52155966;134.9115338;81.88981713;143.9324155;82.52400368;160.9331981;;;;;;
84.8518856;130.0598292;83.91860341;137.1335778;83.09087054;146.2283987;83.2437419;163.2442189;;;;;;
85.41143552;131.9244279;85.41732426;139.2679517;84.46223831;148.4725979;84.0964645;165.5120046;;;;;;
86.04174307;133.8363327;86.13082349;141.4175581;85.67251367;150.8428517;85.07817292;167.7308682;;;;;;
86.96824664;136.0954782;86.79735258;143.998352;86.32702194;153.2670574;86.06433051;169.8814562;;;;;;
88.06414628;138.3253067;87.69581236;146.5602727;87.19576626;155.7467797;86.4197329;171.9089726;;;;;;
88.96922222;140.6626619;88.90169548;149.2191187;88.20157117;158.1294958;86.56685228;173.8945175;;;;;;
89.22873891;143.1049707;89.24570469;151.5357969;89.04935932;160.3837833;86.97577615;175.8787947;;;;;;
89.54888162;145.5887823;89.39168695;153.7221885;89.13182473;162.4087746;87.36598213;177.8389235;;;;;;
90.08763957;148.0709531;89.82686104;155.9441733;89.27777631;164.4189037;87.91850385;180;;;;;;
90.24643941;150.2153536;90.16186207;158.0813338;89.56480232;166.4249677;;;;;;;;
89.8972741;152.3445358;90.1987506;160.1022026;90.01463313;168.422916;;;;;;;;
89.87444503;154.4467381;90.28963758;162.1069118;89.99528254;170.3353161;;;;;;;;
90.02104475;156.560672;90.09097539;164.3872643;90.26360603;172.262963;;;;;;;;
90.31619565;158.6715037;90.08998593;166.1767905;90.15989609;174.1454535;;;;;;;;
90.42026314;160.695948;90.21192877;167.9257966;90.1780298;176.0313595;;;;;;;;
90.29918131;162.6458433;90.48716383;170.0439497;90.20836695;177.9123345;;;;;;;;
90.25349034;164.5935061;90.27863585;171.9199424;90.14046313;180;;;;;;;;
90.25280063;166.5317596;90.26637004;173.8096089;;;;;;;;;;
90.27164368;168.4568281;90.2427099;175.6922982;;;;;;;;;;
90.44040758;170.384185;90.21890587;177.5711359;;;;;;;;;;
90.27569889;172.2640287;90.41418407;180;;;;;;;;;;
90.2084621;174.1487076;;;;;;;;;;;;
90.2023839;176.0324782;;;;;;;;;;;;
90.2815633;177.9141639;;;;;;;;;;;;
90.42126035;180;;;;;;;;;;;;
